DATE,QUANTITY,CODECONTENT
2025-04-12 06:47:35 -0400,2,9787551158282
2025-03-05 20:22:15 -0500,1,9787551315654
2025-04-12 07:12:44 -0400,2,9787553117911
2025-04-12 06:29:43 -0400,1,9787553483375
2025-04-12 06:54:31 -0400,1,9787553516387
2025-04-12 06:03:11 -0400,2,9787553798448
2025-04-12 06:59:07 -0400,1,9787553809212
2025-03-03 00:19:12 -0500,2,9787555112884
2025-04-12 06:42:41 -0400,2,9787555269427
2025-03-05 01:44:10 -0500,1,9787555900559
2025-03-03 00:03:41 -0500,1,9787555913740
2025-04-12 06:48:16 -0400,1,9787556116621
2025-04-12 05:54:54 -0400,1,9787556121250
2025-04-12 06:40:50 -0400,2,9787557025922
2025-04-12 05:30:35 -0400,1,9787557904470
2025-03-05 20:22:45 -0500,1,9787558030031
2025-04-12 05:59:13 -0400,1,9787558092817
2025-03-05 01:04:42 -0500,1,9787559431523
2025-04-12 05:46:32 -0400,1,9787559433282
2025-03-05 20:22:33 -0500,2,9787559443670
2025-03-05 00:46:20 -0500,1,9787559449474
2025-03-15 18:07:16 -0400,1,9787559451965
2025-03-05 00:44:53 -0500,1,9787559461322
